date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:16	38053/38053	---MCZ	200	added ('OK')	text/html	etag:W/%226361f9f4-94a5%22	https://htmldemo.net/consultix/consultix/index.html	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/index.html	(from )
17:47:16	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Nov%202022%2010:47:16%20GMT	https://htmldemo.net/robots.txt		(from )
17:47:17	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Nov%202022%2010:47:17%20GMT	https://htmldemo.net/consultix/consultix/Replace_with_your_PAGE_URL	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/Replace_with_your_PAGE_URL	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:18	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%226361fa01-2f92b%22	https://htmldemo.net/consultix/consultix/css/bootstrap.min.css	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/css/bootstrap.min.css	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:18	102242/102242	---MCZ	200	added ('OK')	text/css	etag:W/%226361fa0d-18f62%22	https://htmldemo.net/consultix/consultix/css/main.css	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/css/main.css	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:18	22380/22380	---MCZ	200	added ('OK')	text/css	etag:W/%226361fa10-576c%22	https://htmldemo.net/consultix/consultix/css/responsive.css	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/css/responsive.css	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:19	3752/3752	---MC-	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202022%2010:47:18%20GMT	https://htmldemo.net/consultix/consultix/images/favicon.png	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/images/favicon.png	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:19	14977/14977	---MCZ	200	added ('OK')	text/html	etag:W/%226361f9f2-3a81%22	https://htmldemo.net/consultix/consultix/contact.html	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/contact.html	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:19	2155/2155	---MC-	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202022%2010:47:19%20GMT	https://htmldemo.net/consultix/consultix/images/logo.png	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/images/logo.png	(from https://htmldemo.net/consultix/consultix/index.html)
17:47:20	23654/23654	---MCZ	200	added ('OK')	text/html	etag:W/%226361f9f0-5c66%22	https://htmldemo.net/consultix/consultix/about.html	D:/My%20Web%20Sites/Consultix/htmldemo.net/consultix/consultix/about.html	(from https://htmldemo.net/consultix/consultix/index.html)
